artist_mbid,date_uts,date_#text,artist,album,song,week
5c952c8c-6791-4df4-8dae-f65678e1e900,1606924027,"02 Dec 2020, 15:47",Loraine James,For You and I,Glitch Bitch,2657
27613b78-1b9d-4ec3-9db5-fa0743465fdd,1606923376,"02 Dec 2020, 15:36",Herbie Hancock,Head Hunters,Sly,2657
27613b78-1b9d-4ec3-9db5-fa0743465fdd,1606922987,"02 Dec 2020, 15:29",Herbie Hancock,Head Hunters,Watermelon Man,2657
27613b78-1b9d-4ec3-9db5-fa0743465fdd,1606922047,"02 Dec 2020, 15:14",Herbie Hancock,Head Hunters,Chameleon,2657
a83994e3-6094-4c23-a6c8-52fe6ea3bd10,1606921406,"02 Dec 2020, 15:03",96 Back,"Excitable, Girl","Excited, Boy",2657
74770867-b865-424e-8786-d33ad834e048,1606911844,"02 Dec 2020, 12:24",lotto,ELITE FELINE,Rope,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606911615,"02 Dec 2020, 12:20",ZOMBIE-CHANG,Take Me Away From Tokyo,GIANT PANDA,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606911384,"02 Dec 2020, 12:16",ZOMBIE-CHANG,Take Me Away From Tokyo,TAKE ME AWAY FROM TOKYO,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606911185,"02 Dec 2020, 12:13",ZOMBIE-CHANG,Take Me Away From Tokyo,Gold Trance,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606910990,"02 Dec 2020, 12:09",ZOMBIE-CHANG,Take Me Away From Tokyo,SNOOZE,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606910758,"02 Dec 2020, 12:05",ZOMBIE-CHANG,Take Me Away From Tokyo,RESPAWN,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606910634,"02 Dec 2020, 12:03",ZOMBIE-CHANG,Take Me Away From Tokyo,ROCK SCISSORS PAPER,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606910397,"02 Dec 2020, 11:59",ZOMBIE-CHANG,Take Me Away From Tokyo,JE NE SAIS PAS,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606910260,"02 Dec 2020, 11:57",ZOMBIE-CHANG,Take Me Away From Tokyo,CAFFEINE & NICOTINE,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606910175,"02 Dec 2020, 11:56",ZOMBIE-CHANG,Take Me Away From Tokyo,STAY HOME,2657
70928415-cde1-4bfb-a078-5c75e2fc96cb,1606909932,"02 Dec 2020, 11:52",ZOMBIE-CHANG,Gold Trance,Uso ja nai kedo,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606846216,"01 Dec 2020, 18:10",Einstürzende Neubauten,Perpetuum Mobile,Youme & Meyou,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606845178,"01 Dec 2020, 17:52",Einstürzende Neubauten,Perpetuum Mobile,Paradiesseits,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606844954,"01 Dec 2020, 17:49",Einstürzende Neubauten,Perpetuum Mobile,Ozean und Brandung,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606843739,"01 Dec 2020, 17:28",Einstürzende Neubauten,Perpetuum Mobile,Ein seltener Vogel,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606843501,"01 Dec 2020, 17:25",Einstürzende Neubauten,Perpetuum Mobile,Ich gehe jetzt,2657
6e9ac29b-798c-4af7-8d9e-55cdc72a999c,1606810529,"01 Dec 2020, 08:15",Einstürzende Neubauten,Perpetuum Mobile,Ein seltener Vogel,2657
